n_layer1;n_layer2;n_layer3;dropout_1;dropout_2;k_size1;k_size2;act;optim;n_batch;lr;stride_1;stride_2;stride_3;best_val_loss
8;4;32;0.29699869688146296;0.10769376213583547;5;3;relu;rmsprop;4;0.001;2;2;2;0.49473851919174194
16;32;32;0.35602255653625003;0.2239566368593969;5;3;relu;rmsprop;2;0.001;2;2;2;0.49553436040878296
8;4;16;0.4351879553780251;0.12305289830916871;5;5;relu;sgd;16;0.0001;1;2;2;0.9981265664100647
8;4;32;0.48333494997804927;0.09499167822041507;5;3;elu;rmsprop;4;1e-05;2;2;2;0.8296229839324951
16;32;8;0.37520796450033367;0.06667439269583486;3;3;relu;rmsprop;4;0.001;2;2;2;0.4324500560760498
16;4;8;0.33315613687241036;0.0715450330999041;3;3;relu;sgd;4;0.001;2;2;2;0.8784186840057373
16;32;8;0.3178689682397545;0.03292311963297573;3;3;relu;rmsprop;2;0.001;2;2;2;0.5135586857795715
16;4;8;0.30466061951987145;0.010211601113831986;3;5;relu;rmsprop;4;0.0001;1;2;2;0.6261368989944458
16;4;8;0.3695277759676455;0.030913730805332135;3;3;elu;sgd;16;0.001;2;2;2;1.0071313381195068
16;32;8;0.3329546405100635;0.05087549644860505;3;3;relu;rmsprop;4;1e-05;2;2;2;0.8249349594116211
16;4;8;0.28815724326900916;0.08458560103427366;3;3;relu;sgd;4;0.001;2;2;2;1.0041065216064453
16;32;8;0.39349993175295;0.06015856516635554;3;3;relu;rmsprop;2;0.001;2;2;2;0.5291077494621277
16;4;8;0.24590629985346957;0.00017081227365844942;3;5;relu;adam;4;0.001;1;2;2;0.7215335369110107
16;4;8;0.423700817494929;0.11717556658740334;3;3;elu;adam;16;0.0001;2;2;1;0.7400215864181519
16;32;8;0.35335454551828865;0.18744343576647854;3;3;relu;rmsprop;4;0.001;2;2;2;0.46522313356399536
16;4;8;0.25868276982354793;0.13043309230780217;3;3;relu;adam;4;1e-05;2;2;2;0.998629093170166
32;4;16;0.3771061208914059;0.15605804043759913;3;3;relu;sgd;4;0.001;2;2;2;0.9998038411140442
32;32;8;0.2723094719160849;0.09868160328382444;3;5;relu;adam;2;0.001;1;2;1;0.6492089629173279
16;4;8;0.44187431901866325;0.06578928820057714;3;3;relu;rmsprop;4;0.001;2;2;2;0.5815523862838745
32;4;16;0.22964857647046313;0.19919234708801378;3;3;elu;adam;16;0.0001;2;2;2;0.6477904915809631
32;32;8;0.46143430031829025;0.07995124837391038;3;3;relu;adam;4;0.001;2;2;2;0.5170860886573792
16;4;16;0.40815356672458936;0.028059858622086806;3;3;relu;rmsprop;4;1e-05;2;2;1;0.9999016523361206
32;32;8;0.34166277430599024;0.04471356998392351;3;3;relu;adam;4;0.001;1;2;2;0.9967243671417236
32;4;32;0.39132121317196167;0.2863606057851515;3;5;relu;sgd;2;0.001;2;2;2;1.0005295276641846
16;16;8;0.44930419840976443;0.14239904350550725;3;3;elu;adam;8;0.001;2;2;2;0.5698792934417725
32;4;32;0.37004737224552114;0.10960729054954178;3;3;relu;rmsprop;4;0.0001;2;2;2;0.5060606598854065
32;32;32;0.30981392735466184;0.2125981232559288;3;3;relu;adam;4;0.001;2;2;1;0.5754057168960571
16;4;16;0.4174862506248286;0.1253442790226222;5;3;relu;adam;16;1e-05;1;2;2;0.9989966154098511
8;32;32;0.46885589858873156;0.15600598347344588;5;3;relu;rmsprop;4;0.001;2;2;2;0.45411089062690735
8;32;32;0.49739897874178957;0.16902561580778375;5;3;relu;rmsprop;4;0.001;2;2;2;0.4316122531890869
8;32;32;0.49840284057613005;0.23783401882543104;5;3;relu;rmsprop;4;0.001;2;2;2;0.5127766728401184
8;32;32;0.48864611210017966;0.1786771800922387;5;3;relu;rmsprop;4;0.001;2;2;2;0.4682585895061493
8;32;32;0.43141010668847785;0.09033421342850977;5;3;relu;rmsprop;4;0.001;2;2;2;0.4295722544193268
8;32;32;0.44707276891148146;0.14653219013223956;5;3;relu;rmsprop;4;0.001;2;2;2;0.48562493920326233
8;32;32;0.4260235387808212;0.0922560958747676;5;3;relu;rmsprop;4;0.001;2;2;2;0.4839012324810028
